PK_Team,Team
842,stade franais ac-2
843,starita
844,starlight iii
845,state vi
846,stella-2
847,struten
848,studenternes roklub-2
849,subbnboana
850,sudan
851,sunshine
852,suriname
853,surprise
854,suzon iv-5
855,suzy-2
856,swaziland
857,sweden
858,sweden-1
859,sweden-2
860,sweden-3
861,sweden-4
862,swedish star
863,swift
864,switzerland
865,switzerland-1
866,switzerland-2
867,sydney rowing club
868,sylvia
869,symphony
870,syndi
871,syria
872,taifun
873,tajamar
874,tajikistan
875,tan-fe-pah
876,tango
877,tantalus
878,tanzania
879,tengiri
880,teresita
881,terrible
882,thailand
883,thailand-1
884,thailand-2
885,thalatta
886,thames rowing club
887,the cloud
888,thessalonki-1
889,three leaves
890,three star too
891,tichiboo
892,tilly
893,tim-tam iii
894,timor leste
895,tineke
896,tip
897,titia
898,tlaloc
899,togo
900,tom kyle
901,tomahawk ii
902,tonga
903,tornado
904,toronto argonauts
905,tournade-40
906,tramontane
907,trans-mississippi golf association-2
908,trickson vi
909,trinidad and tobago
910,trintel ii
911,tritons lillois-2
912,tu-fri
913,tunisia
914,turkey
915,turkmenistan
916,turquoise-3
917,tutti v
918,tuvalu
919,twinkle
920,twins ii
921,twins viii
922,ubu
923,uganda
924,ukraine
925,ukraine-1
926,ukraine-2
927,umberta v
928,unified team
929,unified team-1
930,unified team-2
931,unified team-3
932,union des socits franais de sports athletiques
933,united arab emirates
934,united arab republic
935,united states
936,united states golf association-3
937,united states virgin islands
938,united states virgin islands-1
939,united states virgin islands-2
940,united states-1
941,united states-10
942,united states-11
943,united states-12
944,united states-13
945,united states-14
946,united states-2
947,united states-3
948,united states-4
949,united states-5
950,united states-6
951,united states-8
952,united states-9
953,united states/france
954,united states/great britain
955,univ. of brussels
956,unknown
957,upton park fc
958,uragan
959,uruguay
960,usfsa
961,uzbekistan
962,uzbekistan-1
963,uzbekistan-2
964,vanuatu
965,vaxholm roddklubb
966,venezuela
967,venilia
968,vento sul
969,verveine-41
970,vesania
971,vesper boat club
972,vicking
973,vietnam
974,viking
975,viktoriya
976,vim iii
977,vinga-1
978,vinha
979,virginie
980,vision
981,voloira ii
982,wales-4
983,wannsee
984,web ii
985,web iii
986,wendehals
987,west germany
988,west germany-1
989,west germany-2
990,west germany-3
991,west indies federation
992,western golf association-1
993,western rowing club-3
994,whirlaway
995,white lady
996,whitini star
997,widgeon
998,wiking
999,willem-six
1000,windor
1001,winnipeg shamrocks-1
1002,wolseley-siddeley-1
1003,xantippa
1004,xolotl
1005,yangon
1006,yemen
1007,yeoman
1008,yeoman v
1009,yeoman vii
1010,yeoman xii
1011,ylliam ii
1012,ylliam vii
1013,ylliam viii
1014,yugoslavia
1015,yugoslavia-1
1016,yugoslavia-2
1017,zambia
1018,zefyros
1019,zimbabwe
1020,zut
